date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:09	295/295	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%226ab11f95-2f4%22	https://guestpix.com/robots.txt		(from )
16:26:09	560415/560415	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202026%2004:33:01%20GMT	https://guestpix.com/weddings-pricing/	guestpix.com/weddings-pricing/index.html	(from )
16:26:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202026%2015:26:10%20GMT	https://guestpix.com/weddings-pricing/POST	guestpix.com/weddings-pricing/POST	(from https://guestpix.com/weddings-pricing/)
16:26:15	536672/536672	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202026%2015:26:12%20GMT	https://guestpix.com/weddings-pricing/?currency=CAD	guestpix.com/weddings-pricing/index06e8.html	(from https://guestpix.com/weddings-pricing/)
16:26:17	536676/536676	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202026%2015:26:11%20GMT	https://guestpix.com/weddings-pricing/?currency=AUD	guestpix.com/weddings-pricing/index741e.html	(from https://guestpix.com/weddings-pricing/)
16:26:17	536682/536682	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202026%2015:26:11%20GMT	https://guestpix.com/weddings-pricing/?currency=GBP	guestpix.com/weddings-pricing/indexbfa2.html	(from https://guestpix.com/weddings-pricing/)
16:26:18	536662/536662	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202026%2015:26:11%20GMT	https://guestpix.com/weddings-pricing/?currency=USD	guestpix.com/weddings-pricing/index0307.html	(from https://guestpix.com/weddings-pricing/)
16:26:18	536665/536665	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202026%2015:26:16%20GMT	https://guestpix.com/weddings-pricing/?currency=EUR	guestpix.com/weddings-pricing/indexde9d.html	(from https://guestpix.com/weddings-pricing/)
16:26:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202026%2015:26:18%20GMT	https://guestpix.com/weddings-pricing/POST	guestpix.com/weddings-pricing/POST	(from https://guestpix.com/weddings-pricing/?currency=USD)
16:26:19	536677/536677	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202026%2015:26:18%20GMT	https://guestpix.com/weddings-pricing/?currency=INR	guestpix.com/weddings-pricing/index8c9b.html	(from https://guestpix.com/weddings-pricing/)
16:26:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202026%2015:26:19%20GMT	https://guestpix.com/weddings-pricing/POST	guestpix.com/weddings-pricing/POST	(from https://guestpix.com/weddings-pricing/?currency=AUD)
16:26:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202026%2015:26:20%20GMT	https://guestpix.com/weddings-pricing/POST	guestpix.com/weddings-pricing/POST	(from https://guestpix.com/weddings-pricing/?currency=GBP)
16:26:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202026%2015:26:21%20GMT	https://guestpix.com/weddings-pricing/POST	guestpix.com/weddings-pricing/POST	(from https://guestpix.com/weddings-pricing/?currency=CAD)
16:26:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202026%2015:26:22%20GMT	https://guestpix.com/weddings-pricing/POST	guestpix.com/weddings-pricing/POST	(from https://guestpix.com/weddings-pricing/?currency=EUR)
16:26:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202026%2015:26:23%20GMT	https://guestpix.com/weddings-pricing/POST	guestpix.com/weddings-pricing/POST	(from https://guestpix.com/weddings-pricing/?currency=INR)
